Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,BLANKNEY CLOSE CSO,6NW801608,256/1045,256/1045,,SO on sewer network,NZ6114915290,GB103025071970,Skelton Beck Catch (Saltburn) trib of North Sea,TRIBUTARY OF CHAPEL BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.00,3,2.4,10 (installed pre-2013),99.91%,,,,,,,NZ6114915290,54.529209,-1.056635
Northumbrian Water,BLAYDON BANK CSO,6NW801057,235/1438,235/1438,,SO on sewer network,NZ1822563606,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,119.13,60,62.7,10 (installed pre-2013),93.17%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ1822563606,54.96675,-1.716869
Northumbrian Water,BLAYDON BURN WAGONWAY CSO,6NW800256,233/1228,233/1228,,SO on sewer network,NZ1809563602,GB103023074791,Blaydon Burn,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,2.3,4 (installed 2018),100%,,,,,,,NZ1809563602,54.966718,-1.7189
Northumbrian Water,BLAYDON METALS NO 1 CSO,6NW801067,235/1685,235/1685,,SO on sewer network,NZ1867963540,GB510302310200,TYNE,TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,87.83,23,42.0,10 (installed pre-2013),99.37%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ1867963540,54.96614,-1.709782
Northumbrian Water,BLAYDON METALS NO 2 CSO,6NW801068,235/1686,235/1686,,SO on sewer network,NZ1869463551,GB510302310200,TYNE,TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,67.27,20,15.4,10 (installed pre-2013),100%,,,,,,,NZ1869463551,54.966238,-1.709547
Northumbrian Water,BLEACH GREEN FARM CSO,6NW801158,244/0999,244/0999,,SO on sewer network,NZ2369041750,GB103024077280,Deerness from Hedleyhope Burn to Browney,RIVER DEERNESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,45.50,18,8.4,10 (installed pre-2013),99.95%,,,,,,,NZ2369041750,54.770119,-1.633297
Northumbrian Water,BLUE BELL INN CSO,6NW801249,235/1973,235/1973,,SO on sewer network,NZ2632065410,GB103023075780,Ouse Burn from Source to Tyne,OUSE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,22.25,9,6.8,9 (installed 2013),99.81%,,,,,,,NZ2632065410,54.9826,-1.590269
Northumbrian Water,BLUEHOUSE GILL CSO,6NW800425,255/1075,255/1075,,SO on sewer network,NZ4628939473,367,Blue House Gill,BLUEHOUSE GILL (NORTH SEA),,Crimdon,Not Applicable,Commissioned in 2018 - full year data expected,615.69,71,76.4,5 (installed 2017),100%,,,N/A - Ongoing investigation,Scheduled,,,NZ4628939473,54.748089,-1.282414
Northumbrian Water,BLYTH (NEW) SEWAGE TREATMENT WORKS,6NW800773,226/1179,226/1179,A2,Storm tank at WwTW,NZ2948982336,GB510302203200,BLYTH (N),RIVER BLYTH (SALINE ESTUARY),,,Not Applicable,Commissioned in 2020 - full year data expected,,,36.0,3 (installed 2019),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ2948982336,55.134517,-1.53901
Northumbrian Water,BLYTH NO5 SPS,6NW800581,226/1176,226/1176,226/1176-02,Storm discharge at pumping station,NZ3158081840,GB510302203200,BLYTH (N),RIVER BLYTH (SALINE ESTUARY),,,Not Applicable,Commissioned in 2020 - full year data expected,105.60,10,49.3,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3158081840,55.129932,-1.506269
Northumbrian Water,BLYTH NO6 SPS,6NW800575,226/1177,226/1177,226/1177-02,Storm discharge at pumping station,NZ3101082280,GB510302203200,BLYTH (N),RIVER BLYTH(SALINE ESTUARY),,,Not Applicable,Commissioned in 2020 - full year data expected,17.31,44,86.0,3 (installed 2019),97.46%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3101082280,55.133921,-1.51516
Northumbrian Water,BOATHOUSE LANE PUMPING STATION,6NW800630,254/1366,254/1366,A,Storm discharge at pumping station,NZ4467018070,GB103025072595,Tees from Skerne to Tidal Limit,TEES ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,114.46,27,26.3,3 (installed 2019),100%,,,,,,,NZ4467018070,54.555908,-1.310824
Northumbrian Water,BODLEWELL LANE CSO,6NW801513,245/0983,245/0983,,SO on sewer network,NZ4031057394,GB510302402900,WEAR,WEAR ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,124.00,46,51.4,10 (installed pre-2013),99.50%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ4031057394,54.909639,-1.372802
Northumbrian Water,BOLDON COLLIERY FENWICK STREET CSO,6NW800372,EPRCB3096NZ,EPRCB3096NZ,,SO on sewer network,NZ3427462728,GB103023075690,Don from Source to Tidal Limit,RIVER DON,,,Not Applicable,Commissioned in 2021 - full year data expected,0.00,0,0.0,1 (installed 2021),96.99%,,,,,,,NZ3427462728,54.958019,-1.466308
Northumbrian Water,BOLDON COLLIERY SOUTH (N0'7) CSO,6NW801455,EPRCB3096RW,EPRCB3096RW,,SO on sewer network,NZ3543562359,GB103023075690,Don from Source to Tidal Limit,RIVER DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,4.1,10 (installed pre-2013),34.84%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ3543562359,54.954622,-1.448225
Northumbrian Water,BOLDRON STW,6NW800144,252/0073,252/0073,A2,Inlet SO at WwTW,NZ0381114407,GB103025072512,Tees from Percy Beck to River Greta, Tributary of Manifold Beck,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ0381114407,54.524937,-1.942631
Northumbrian Water,BONDISLE WAY CSO,6NW800910,241/1090,241/1090,,SO on sewer network,NZ0003338462,GB103024077461,Wear from Middlehope Burn to Houselop Beck,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,29.75,35,37.0,10 (installed pre-2013),99.90%,,,,,,,NZ0003338462,54.741125,-2.001009
Northumbrian Water,BOTHAL COTTAGES,6NW801221,225/1028,225/1028,,SO on sewer network,NZ2569086890,GB103022077062,Wansbeck from Bothal Burn to North Sea,UNNAMED TRIB OF R WANSBECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.4,10 (installed pre-2013),87.97%,Comms failure / issue,Resolved - January after reporting year,,,,,NZ2569086890,55.175649,-1.598184
Northumbrian Water,BOTHAL CSO THE TUNNELS CM036,6NW801173,225/1068,225/1068,,SO on sewer network,NZ2331387574,GB103022077030,Bothal Burn Catchment (trib of Wansbeck),BOTHAL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,9.00,13,16.7,10 (installed pre-2013),99.99%,,,,,,,NZ2331387574,55.181912,-1.635448
Northumbrian Water,BOULMER SEWAGE TREATMENT WORKS,6NW800869,221/1035,221/1035,221/1035-03,Inlet SO at WwTW,NU2680015660,GB650301500001,Northumberland South,NORTH SEA,,,Not Applicable,Commissioned pre-2016 - full year data expected,244.75,36,52.9,10 (installed pre-2013),93.60%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NU2680015660,55.434102,-1.578023
Northumbrian Water,BOURN LEA CSO CH087,6NW801661,245/1376,245/1376,,SO on sewer network,NZ3238851928,GB103024077630,Herrington Burn from Source to Lumley Park Burn,HERRINGTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,11.33,8,6.7,10 (installed pre-2013),99.89%,,,,,,,NZ3238851928,54.861096,-1.49697
Northumbrian Water,BOURNMOOR SPS,6NW800572,245/1329,245/1329,A1,Storm discharge at pumping station,NZ3065050950,GB103024077570,Lumley Park Burn from Herrington Burn to R Wear,LUMLEY PARK BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,5.25,3,6.7,3 (installed 2019),100%,,,,,,,NZ3065050950,54.852417,-1.524148
Northumbrian Water,BOWBURN BRIDGE PS,6NW800570,243/0980,243/0980,243/0980-01,Storm discharge at pumping station,NZ3059837810,GB103024077410,Croxdale Beck from Source to Wear,BOWBURN BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,64.25,25,28.5,10 (installed pre-2013),99.99%,,,,,,,NZ3059837810,54.734342,-1.526339
Northumbrian Water,BOWBURN STW (2002) CSO INLET,6NW800171,243/0970,243/0970,A5,Inlet SO at WwTW,NZ3009836993,GB103024077410,Croxdale Beck from Source to Wear,BOWBURN BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,182.76,49,35.3,3 (installed 2019),100%,,,N/A - Ongoing investigation,N/A - Ongoing investigation,,,NZ3009836993,54.72703,-1.534188
Northumbrian Water,BOWBURN STW (2002) Storm Tank,6NW800775,243/0970,243/0970,A2,Storm tank at WwTW,NZ3009836993,GB103024077410,Croxdale Beck from Source to Wear,BOWBURN BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,0.0,2 (installed 2020),1.78%,Installation set-up/design issue,Resolved - Dec,,,,,NZ3009836993,54.72703,-1.534188
Northumbrian Water,BOWES SEWAGE TREATMENT WORKS,6NW800710,25/02/1105,25/02/1105,25/02/1105-02,Storm tank at WwTW,NY9978013150,GB103025072140,Greta from Sleightholme Beck to Eller Beck,RIVER GRETA,,,Not Applicable,Commissioned in 2020 - full year data expected,177.95,49,59.5,2 (installed 2020),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NY9978013150,54.513653,-2.00491
Northumbrian Water,BOWESFIELD LANE CSO,6NW800418,254/1266,254/1266,,SO on sewer network,NZ4467816863,GB103025072595,Tees from Skerne to Tidal Limit,RIVER TEES ESTUARY (SALINE),,,Not Applicable,Commissioned in 2017 - full year data expected,52.20,30,7.4,5 (installed 2017),98.54%,,,,,,,NZ4467816863,54.545061,-1.310883
Northumbrian Water,BRADBURY STW,6NW800174,253/1277,253/1277,A2,Inlet SO at WwTW,NZ3195028490,GB103025072430,Skerne from Carrs to Woodham Burn,RIVER SKERNE,,,Not Applicable,Commissioned in 2020 - full year data expected,31.63,22,22.7,3 (installed 2019),100%,,,,,,,NZ3195028490,54.650506,-1.506361
Northumbrian Water,BRAFFERTON CSO - REAR OF HALL GARTH HOTEL,6NW801675,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ2919620613,GB103025072290,Dene Beck Catchment (trib of Skerne),River Skerne,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,13.5,10 (installed pre-2013),99.60%,,,,,,,NZ2919620613,54.579886,-1.549822
Northumbrian Water,BRAN SANDS TREATMENT WORKS,6NW800197,254/1920,254/1920,254/1920-07,Inlet SO at WwTW,NZ5614024090,GB103025072320,Tees Estuary (S Bank),DABHOLM GUT,,,Not Applicable,Commissioned in 2020 - full year data expected,287.74,100,96.0,3 (installed 2019),99.87%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ5614024090,54.608862,-1.132346
Northumbrian Water,BRANCEPETH CSO,6NW801147,EPRBB3990WL,EPRBB3990WL,,SO on sewer network,NZ2240337542,GB103024077420,Brancepeth Beck from Source to Wear,STOCKLEY BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,10.00,17,10.1,10 (installed pre-2013),88.15%,Comms failure / issue,Resolved - Nov,,,,,NZ2240337542,54.732364,-1.653624
Northumbrian Water,BRANCEPETH STW,6NW800750,243/1024,243/1024,A2,Storm tank at WwTW,NZ2253037520,GB103024077420,Brancepeth Beck from Source to Wear,BRANCEPETH BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,,,44.3,3 (installed 2019),0%,Installation set-up/design issue,N/A - Ongoing investigation,N/A - Ongoing investigation,N/A - Ongoing investigation,,,NZ2253037520,54.73216,-1.651653
Northumbrian Water,BRANDON VILLAGE SSO STOBBS HOUSE,6NW801157,244/0952,244/0952,,SO on sewer network,NZ2333040310,GB103024077280,Deerness from Hedleyhope Burn to Browney,DEERNESS TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,0.2,10 (installed pre-2013),99.99%,,,,,,,NZ2333040310,54.757196,-1.639007
Northumbrian Water,BRANDYWELL CSO,6NW800822,210/1359,210/1359,,SO on sewer network,NT9999851989,GB510202110000,Tweed water body,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,36.77,37,31.9,9 (installed 2013),65.58%,Comms failure / issue,Resolved - Oct,,,,,NT9999851989,55.761254,-2.0016
Northumbrian Water,BRANXTON STW,6NW800101,210/0039,210/0039,A2,Inlet SO at WwTW,NT8915037910,GB102021072990,Pallins Burn Catch (trib of Till),PALLINS BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,184.47,22,23.5,2 (installed 2020),100%,,,,,,,NT8915037910,55.634629,-2.173902
Northumbrian Water,BRENDA ROAD/PARK VIEW CSO,6NW801586,25/05/5033,25/05/5033,,SO on sewer network,NZ5100930078,GB650301500005,Tees Coastal,A culverted section of The Stell,,Seaton Carew (Centre),Not Applicable,Commissioned pre-2016 - full year data expected,2.30,8,5.6,10 (installed pre-2013),100%,,,,,,,NZ5100930078,54.663213,-1.210736
Northumbrian Water,BRIARDALE CSO,6NW801218,NPSWQD000519,NPSWQD000519,,SO on sewer network,NZ2595282604,GB103022076230,Sleek Burn / Hepscott Burn Source  to Tidal Limit,UNNAMED TRIB SLEEK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.75,5,4.3,10 (installed pre-2013),99.98%,,,,,,,NZ2595282604,55.137122,-1.594461
Northumbrian Water,BRIARDALE ROAD CSO,6NW801350,226/1057,226/1057,,SO on sewer network,NZ2960382326,5,River Blyth Estury,River Blyth Estuary,,,Not Applicable,Commissioned pre-2016 - full year data expected,35.50,30,52.5,10 (installed pre-2013),99.83%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2960382326,55.13442,-1.537223
Northumbrian Water,BRIARDALE ROAD CSO TAYLOR STREET,6NW801349,226/1050,226/1050,,SO on sewer network,NZ2906281980,GB510302203200,BLYTH (N),BLYTH ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,39.25,31,38.3,10 (installed pre-2013),97.61%,,,,,,,NZ2906281980,55.131343,-1.545743
Northumbrian Water,BRIARDENE LOCKHAUGH ROAD CSO,6NW801055,234/A/1025,234/A/1025,,SO on sewer network,NZ1700059500,GB103023074790,Derwent from Burnhope Burn to River Tyne,"DERWENT, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,4.00,4,3.6,10 (installed pre-2013),96.74%,,,,,,,NZ1700059500,54.929895,-1.736244
Northumbrian Water,BRIDGE END COTTAGES CSO,6NW800908,233/1244,233/1244,,SO on sewer network,NY9889964240,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.25,12,8.9,10 (installed pre-2013),99.92%,,,,,,,NY9889964240,54.972774,-2.018731
Northumbrian Water,BRIDGE END PS,6NW800501,226/1078,226/1078,A1,Storm discharge at pumping station,NZ0801071810,GB103022076840,Pont from Fenwick Burn to Med Burn,PONT,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,0.3,3 (installed 2019),100%,,,,,,,NZ0801071810,55.040738,-1.876194
Northumbrian Water,BRIDGE STREET PUMPING STATION,6NW800660,25/05/5040,25/05/5040,25/05/5040-02,Storm discharge at pumping station,NZ5185032480,GB650301500005,Tees Coastal,NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,19.63,13,26.5,2 (installed 2020),100%,,,,,,,NZ5185032480,54.684711,-1.197274
Northumbrian Water,BRIERDENE PUMPING STATION,6NW800378,235/1241,235/1241,235/1241-2.1 (Storm Sewage),Storm discharge at pumping station,NZ3596074310,GB650301500002,Tyne and Wear,NORTH SEA,,Whitley Bay,Not Applicable,Commissioned in 2019 - full year data expected,52.37,28,33.5,4 (installed 2018),100%,,,,,,,NZ3596074310,55.061973,-1.43853
Northumbrian Water,BRINKBURN CRESCENT CSO (SU28),6NW801430,245/1358,245/1358,,SO on sewer network,NZ3291950302,GB103024077580,Lumley Park Burn from Source to Herrington Burn,"MOORS BURN, TRIB LUMLEY PARK",,,Not Applicable,Commissioned pre-2016 - full year data expected,1.75,2,10.3,10 (installed pre-2013),88.70%,Comms failure / issue,Resolved - Apr,,,,,NZ3291950302,54.84645,-1.488883
Northumbrian Water,BRINKBURN SSO,6NW801655,245/1355,245/1355,,SO on sewer network,NZ3264149388,GB103024077580,Lumley Park Burn from Source to Herrington Burn,RED BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.75,3,2.0,10 (installed pre-2013),99.38%,,,,,,,NZ3264149388,54.838255,-1.493315
Northumbrian Water,BROAD CHARE CSO,6NW800316,235/1919,235/1919,,SO on sewer network,NZ2551163934,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,602.06,86,78.0,4 (installed 2018),63.03%,Comms failure / issue,Resolved - May,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2551163934,54.969379,-1.60304
Northumbrian Water,BROADWAY JUNCTION NORWOOD ROAD CSO,6NW801071,EPRBB3993EE,EPRBB3993EE,,SO on sewer network,NZ1904665266,8,Denton Burn (River Tyne),SUGLEY DENE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.10,1,1.3,10 (installed pre-2013),99.95%,,,,,,,NZ1904665266,54.981636,-1.703936
Northumbrian Water,BROADWAY ROAD CSO,6NW801094,EPRBB3999AQ,EPRBB3999AQ,,SO on sewer network,NZ1990465237,8,River Tyne,TIDAL RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.80,6,7.3,10 (installed pre-2013),87.69%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ1990465237,54.981342,-1.690532
Northumbrian Water,BROOKE AVENUE (NO20) STY049 CSO,6NW801468,EPRBB3792AU,EPRBB3792AU,,SO on sewer network,NZ3586962022,GB103023075690,Don from Source to Tidal Limit,RIVER DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,40.25,35,43.1,10 (installed pre-2013),97.68%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ3586962022,54.951563,-1.44149
Northumbrian Water,BROOM PARK OLD WORKS CSO,6NW801179,244/0936,244/0936,,SO on sewer network,NZ2495541484,GB103024077280,Deerness from Hedleyhope Burn to Browney,RELLEY GILL,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,27.4,10 (installed pre-2013),95.87%,,,,,,,NZ2495541484,54.767668,-1.613658
Northumbrian Water,BROOMHAUGH SEWAGE TREATMENT WORKS,6NW800713,233/1200,233/1200,A2,Storm tank at WwTW,NZ0282062100,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,115.42,22,73.7,3 (installed 2019),99.99%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ0282062100,54.953538,-1.957499
Northumbrian Water,BROTTON MILLHOLME DRIVE,6NW801622,25/06/0985,25/06/0985,,SO on sewer network,NZ6774120260,GB103025071960,Saltburn Gill Catch trib of North Sea,TRIB OF MILLHOLME BECK,,Saltburn Pier,Not Applicable,Commissioned pre-2016 - full year data expected,26.77,4,8.2,10 (installed pre-2013),100%,,,,,,,NZ6774120260,54.573029,-0.95365
Northumbrian Water,BROWNEY LANE CSO,6NW801176,244/1003,244/1003,,SO on sewer network,NZ2500538681,GB103024077552,Browney from Deerness confl to Wear,UNNAMED TRIB. OF RIVER BROWNEY,,,Not Applicable,Commissioned pre-2016 - full year data expected,136.75,49,47.9,10 (installed pre-2013),99.42%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2500538681,54.742477,-1.61312
Northumbrian Water,BROWNEY STW,6NW800760,244/0985,244/0985,A2,Storm tank at WwTW,NZ2587038500,GB103024077552,Browney from Deerness confl to Wear,BROWNEY,,,Not Applicable,Commissioned in 2020 - full year data expected,7.36,25,24.5,2 (installed 2020),94.43%,,,,,,,NZ2587038500,54.740807,-1.599701
Northumbrian Water,BROWNS BRIDGE CSO,6NW801542,254/1833,254/1833,,SO on sewer network,NZ4377519746,GB103025072550,Lustrum Beck Catchment (trib of Tees),THE LUSTRUM BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,31.00,7,7.7,10 (installed pre-2013),99.62%,,,,,,,NZ4377519746,54.571047,-1.324413
Northumbrian Water,BROWNS POINT CSO,6NW800394,235/1793,235/1793,,SO on sewer network,NZ3648071540,GB650301500002,Tyne and Wear,NORTH SEA,,Cullercoats,Not Applicable,Commissioned in 2019 - full year data expected,0.47,2,1.0,4 (installed 2018),100%,,,,,,,NZ3648071540,55.037045,-1.430742
Northumbrian Water,BRUS SEWAGE PUMPING STATION,6NW800652,255/5021,QC.25/05/5021,A,Storm discharge at pumping station,NZ5047635589 / NZ5053835695,368,North Sea,North Sea,,,Not Applicable,Commissioned in 2020 - full year data expected,226.74,42,45.7,3 (installed 2019),99.94%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ5047635589 / NZ5053835695,54.712787,-1.218047
Northumbrian Water,BRUS SEWAGE PUMPING STATION Soft Leas,6NW800666,255/5021,QC.25/05/5020,A1,Storm discharge at pumping station,NZ5281934509,GB650301500005,Tees Coastal,North Sea,,,Not Applicable,Commissioned in 2019 - full year data expected,1.78,4,26.8,4 (installed 2018),100%,,,,,,,NZ5281934509,54.702842,-1.181879
Northumbrian Water,BT41 MAIN STREET NO 4 CSO,6NW800827,210/0940,210/0940,,SO on sewer network,NT9962352760,368,River Tweed,RIVER TWEED ESTUARY,,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,,,45.0,10 (installed pre-2013),0%,Comms failure / issue,N/A - Ongoing investigation,N/A - Ongoing investigation,N/A - Ongoing investigation,,,NT9962352760,55.768181,-2.007577
Northumbrian Water,BURDON MAIN ROW CSO,6NW801478,235/2006,235/2006,,SO on sewer network,NZ3558767688,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,14.00,19,18.5,10 (installed pre-2013),99.99%,,,,,,,NZ3558767688,55.002496,-1.445192
Northumbrian Water,BURDON ROAD CSO,6NW800397,235/1279,235/1279,,SO on sewer network,NZ3659561997,GB103023075690,Don from Source to Tidal Limit,DON TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,59.03,21,24.9,10 (installed pre-2013),99.97%,,,,,,,NZ3659561997,54.951286,-1.430158
Northumbrian Water,BURN CLOSES CSO,6NW801395,235/1776,235/1776,,SO on sewer network,NZ3115366916,GB103023075760,Wallsend Burn (Trib of Tyne),WALLSEND BURN ESTUARINE WATERS,,,Not Applicable,Commissioned pre-2016 - full year data expected,398.00,96,84.2,10 (installed pre-2013),99.41%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ3115366916,54.995856,-1.51459
Northumbrian Water,BURNHOPE P.S. CSO & CER,6NW801084,245/A/0575,245/A/0575,245/A/0575-B(1) Storm Sewage,SO on sewer network,NZ1932048470,GB103024077560,Cong Burn from Source to Twizell Burn,IBBETSONS' SIKE (RIVER WEAR),,,Not Applicable,Commissioned pre-2016 - full year data expected,121.75,63,65.3,10 (installed pre-2013),89.14%,Comms failure / issue,Resolved - Apr,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1932048470,54.830694,-1.700775
Northumbrian Water,BURNIP ROAD CSO,6NW801501,255/0509,255/0509,,SO on sewer network,NZ3920147770,GB103025075970,Dalton Beck to North Sea,DALTON DENE,,Seaham Hall,Not Applicable,Commissioned pre-2016 - full year data expected,6.10,19,20.0,10 (installed pre-2013),99.98%,,,,,,,NZ3920147770,54.823247,-1.391402
Northumbrian Water,BURNISTON DRIVE PS,6NW801639,243/0892,Permit Anomaly - EO permit 243/0892,To be permitted for storm,Storm discharge at pumping station,NZ1923435151,GB103024077464,Wear from Gaunless to Browney,Willington Burn,,,Not Applicable,Commissioned pre-2016 - full year data expected,710.00,88,103.2,10 (installed pre-2013),97.81%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1923435151,54.711008,-1.702991
Northumbrian Water,BURNOPFIELD CSO,6NW801051,234/1053,234/1053,,SO on sewer network,NZ1750757658,GB103023074790,Derwent from Burnhope Burn to River Tyne,LEAPMILL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,123.75,43,38.7,10 (installed pre-2013),98.70%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1750757658,54.913326,-1.728444
Northumbrian Water,BURNSIDE AVENUE CSO,6NW801428,245/1318,245/1318,,SO on sewer network,NZ3292050300,GB103024077580,Lumley Park Burn from Source to Herrington Burn,MOORS BURN TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,3,0.9,9 (installed 2013),98.71%,,,,,,,NZ3292050300,54.846432,-1.488867
Northumbrian Water,BURNSIDE CSO,6NW801092,235/1916,235/1916,,SO on sewer network,NZ1918865935,8,Denton Burn River Tyne,SUGLEY DENE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.13,2,3.8,10 (installed pre-2013),100%,,,,,,,NZ1918865935,54.987642,-1.701673
Northumbrian Water,BURTON BECK CSO,6NW801175,243/0974,243/0974,,SO on sewer network,NZ2462433890,GB103024077350,Valley Burn from Source to Wear,BURTON BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,30.00,26,27.7,10 (installed pre-2013),99.42%,,,,,,,NZ2462433890,54.699442,-1.619442
