Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",Unique ID,Grid reference,Latitude,Longitude
Northumbrian Water,MAGDALENE FIELDS NORTH CSO,MAGDALENE FIELDS NORTH CSO,210/1355,6NW800837M3,A1,SO on sewer network,"NU0009954653, NU0010954736, NU0011454649",GB650301440000,Northumberland North,NORTH SEA,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,1,14.10,9 (installed 2014),95.55,,,,,,6NW800837M3,NU0009954653,55.78519,-1.9999903
Northumbrian Water,WESTFIELD NO 9 PS,WESTFIELD NO 9 PS,210/0983,6NW800839,210/0983-02,SO on sewer network,NT9962354112,359,North Sea,UNNAMED COASTAL STREAM,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,3,9.39,10+ (installed pre-2013),95.49,,,,,,6NW800839,NT9962354112,55.780329,-2.0075792
Northumbrian Water,MAGDALEN FIELDS SOUTH COMBINED SEWW,MAGDALEN FIELDS SOUTH COMBINED SEWW,210/1362,6NW800840,,SO on sewer network,"NU0009954653, NU0010954736, NU0011454649",GB650301440000,Northumberland North,NORTH SEA,,,Not Applicable,Commissioned pre-2016 - full year data expected,168.00,73,74.29,10+ (installed pre-2013),82.89,Comms failure / issue,Resolved - Aug,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800840,NU0009954653,55.78519,-1.9999903
Northumbrian Water,DERWENT WATER TERRACE CSO BT022,DERWENT WATER TERRACE CSO BT022,EPRAB3090VG,6NW800841,,SO on sewer network,NU0236149575,GB650301440000,Northumberland North,NORTH SEA,,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,28.90,11,12.76,10+ (installed pre-2013),99.95,,,,,,6NW800841,NU0236149575,55.739559,-1.9639642
Northumbrian Water,SPITTAL QUAY CSO (BT7),SPITTAL QUAY CSO (BT7),210/1360,6NW800842,,SO on sewer network,NU0018151930,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,208.77,60,51.60,9 (installed 2014),99.85,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800842,NU0018151930,55.760724,-1.9986834
Northumbrian Water,MAIN STREET SPITTAL CSO,MAIN STREET SPITTAL CSO,210/1349,6NW800843,,SO on sewer network,NU0018151930,GB510202110000,TWEED,NORTH SEA,,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,0.43,3,1.81,10+ (installed pre-2013),100.00,,,,,,6NW800843,NU0018151930,55.760724,-1.9986834
Northumbrian Water,SEA ROAD CSO,SEA ROAD CSO,EPRPP3227GJ,6NW800844,,SO on sewer network,NU0018151930,GB510202110000,TWEED,TWEED ESTUARY,,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,0.07,1,1.72,10+ (installed pre-2013),100.00,,,,,,6NW800844,NU0018151930,55.760724,-1.9986834
Northumbrian Water,BERWICK-UPON-TWEED SPS,BERWICK-UPON-TWEED SPS,210/1329,6NW800845,210/1329-01,Storm discharge at pumping station,NU0039352665,GB510202110000,TWEED,RIVER TWEED,,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,13.77,14,6.21,10+ (installed pre-2013),99.95,,,,,,6NW800845,NU0039352665,55.767328,-1.9953044
Northumbrian Water,STEPPING STONES CSO,STEPPING STONES CSO,223/0949,6NW800846,,SO on sewer network,NU0631001741,GB103022076692,Coquet from Holystone Burn to Forest Burn,RIVER COQUET,,,Not Applicable,Commissioned pre-2016 - full year data expected,265.00,40,26.72,10+ (installed pre-2013),99.89,,,,,,6NW800846,NU0631001741,55.309719,-1.9021404
Northumbrian Water,MCLAREN DRIVE CSO,MCLAREN DRIVE CSO,221/1003,6NW800847,,SO on sewer network,NU1121033610,GB103022076460,Belford Burn from Source to Ross Low,BELFORD BURN (COASTAL STREAM),,,Not Applicable,Commissioned pre-2016 - full year data expected,122.50,35,24.22,10+ (installed pre-2013),97.22,,,,,,6NW800847,NU1121033610,55.59599,-1.8236763
Northumbrian Water,NEW HALL FARM CSO,NEW HALL FARM CSO,223/0922,6NW800848,,SO on sewer network,NU1319300547,GB103022076693,Coquet from Forest Burn to Tidal Limit,UNNAMED TRIB OF RIVER COQUET,,,Not Applicable,Commissioned pre-2016 - full year data expected,25.00,12,46.02,10+ (installed pre-2013),98.20,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,6NW800848,NU1319300547,55.298855,-1.7937631
Northumbrian Water,LONGFRAMLINGTON SSO,LONGFRAMLINGTON SSO,223/G/0102,6NW800849,,SO on sewer network,NU1340001500,GB103022076660,Swarland Burn Catchment (trib of Coquet),FENCE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,190.00,36,20.70,9 (installed 2014),99.18,,,,,,6NW800849,NU1340001500,55.307413,-1.7904579
Northumbrian Water,ELLINGHAM STW,ELLINGHAM STW,221/1056,6NW800850,221/1056-03,Inlet SO at WwTW,NU1717025740,GB103022077070,Long Nanny from Source to N Sea,ELLINGHAM BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,16.25,4,5.77,10+ (installed pre-2013),77.88,Comms failure / issue,Resolved - Dec,,,,6NW800850,NU1717025740,55.525104,-1.7295878
Northumbrian Water,SWARLAND OLD SEWAGE WORKS CSO,SWARLAND OLD SEWAGE WORKS CSO,223/0947,6NW800851,,SO on sewer network,NU1707003330,GB103022076693,Coquet from Forest Burn to Tidal Limit,MERE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,315.50,37,22.49,10+ (installed pre-2013),99.89,,,,,,6NW800851,NU1707003330,55.323744,-1.7325348
Northumbrian Water,MAIN STREET CSO,MAIN STREET CSO,223/0951,6NW800852,,SO on sewer network,NU1854300330,GB103022076693,Coquet from Forest Burn to Tidal Limit,RIVER COQUET,,,Not Applicable,Commissioned pre-2016 - full year data expected,5.50,10,22.12,10+ (installed pre-2013),99.61,,,,,,6NW800852,NU1854300330,55.296734,-1.7095185
Northumbrian Water,HOWLING LANE CSO A046,HOWLING LANE CSO A046,222/0861,6NW800853,,SO on sewer network,NU1825013518,GB103022076350,Aln from Edlingham Burn to Tidal Limit,WASH BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,115.50,50,50.76,10+ (installed pre-2013),99.61,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800853,NU1825013518,55.415246,-1.7132785
Northumbrian Water,STAIGS GARTH SPS,STAIGS GARTH SPS,222/0853,6NW800854,222/0853-01,Storm discharge at pumping station,NU1856113855,GB103022076350,Aln from Edlingham Burn to Tidal Limit,R ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,0.09,10+ (installed pre-2013),93.23,,,,,,6NW800854,NU1856113855,55.418262,-1.7083438
Northumbrian Water,NARROWGATE CSO,NARROWGATE CSO,EPRAB3090RL,6NW800855,,SO on sewer network,NU1859313478,GB103022076350,Aln from Edlingham Burn to Tidal Limit,UNNAMED TRIB OF RIVER ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,53.00,36,32.59,10 (installed 2013),99.99,,,,,,6NW800855,NU1859313478,55.414874,-1.7078632
Northumbrian Water,ALNWICK CASTLE CSO A011,ALNWICK CASTLE CSO A011,222/0857,6NW800856,,SO on sewer network,NU1885113533,GB103022076350,Aln from Edlingham Burn to Tidal Limit,BOW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,54.75,38,42.06,10+ (installed pre-2013),99.65,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800856,NU1885113533,55.415358,-1.7037843
Northumbrian Water,FELTON RECREATION GROUND CSO,FELTON RECREATION GROUND CSO,223/1004,6NW800857,,SO on sewer network,NU1906300590,GB103022076693,Coquet from Forest Burn to Tidal Limit,RIVER COQUET,,,Not Applicable,Commissioned pre-2016 - full year data expected,142.00,60,31.79,10+ (installed pre-2013),99.99,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",6NW800857,NU1906300590,55.299051,-1.7013117
Northumbrian Water,SHILBOTTLE CSO A,SHILBOTTLE CSO A,223/G/0088,6NW800858,,SO on sewer network,NU1980008740,GB103022076720,Tyelaw Burn Catchment (trib of Coquet),TYELAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,3,1.38,10+ (installed pre-2013),99.99,,,,,,6NW800858,NU1980008740,55.372254,-1.6891321
Northumbrian Water,SHILBOTTLE CSO,SHILBOTTLE CSO,223/G/0089,6NW800859,,SO on sewer network,NU2064008830,GB103022076720,Tyelaw Burn Catchment (trib of Coquet),TYELAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.00,10+ (installed pre-2013),99.99,,,,,,6NW800859,NU2064008830,55.373028,-1.6758717
Northumbrian Water,ALNMOUTH ROAD SSO,ALNMOUTH ROAD SSO,222/D/0255,6NW800860,,SO on sewer network,NU1940013700,GB103022076350,Aln from Edlingham Burn to Tidal Limit,ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,57.25,29,32.40,10+ (installed pre-2013),97.42,,,,,,6NW800860,NU1940013700,55.416837,-1.695101
Northumbrian Water,SHILBOTTLE CSO NO. 2 A015,SHILBOTTLE CSO NO. 2 A015,223/G/0087,6NW800861,,SO on sewer network,NU2122108615,GB103022076720,Tyelaw Burn Catchment (trib of Coquet),TYELAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,137.25,34,36.10,10+ (installed pre-2013),99.72,,,,,,6NW800861,NU2122108615,55.371072,-1.6667205
Northumbrian Water,CHRISTON BANK SPS,CHRISTON BANK SPS,221/1030,6NW800862,221/1030-01,Storm discharge at pumping station,NU2101023300,GB103022076400,Brunton burn from Source to N Sea,UNNAMED TRIB OF BRUNTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,799.25,70,39.99,10+ (installed pre-2013),99.99,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",6NW800862,NU2101023300,55.503031,-1.668948
Northumbrian Water,SOUTHFIELD CSO,SOUTHFIELD CSO,NPSWQD002462,6NW800863,,SO on sewer network,NU2229131513,GB620301100000,Farne Islands to Newton Haven,N. SEA & UN-NAMED WATERCOURSE,,Seahouses North,Not Applicable,Commissioned pre-2016 - full year data expected,0.23,1,3.87,10+ (installed pre-2013),100.00,,,,,,6NW800863,NU2229131513,55.576769,-1.6480109
Northumbrian Water,STEPPEY LANE CSO A020,STEPPEY LANE CSO A020,222/0860,6NW800864,,SO on sewer network,NU2373410923,6,Hip Burn to River Aln,HIPS BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,26.60,26,9.98,10+ (installed pre-2013),99.82,,,,,,6NW800864,NU2373410923,55.391695,-1.6268757
Northumbrian Water,LESBURY(HIPSBURN)CSO,LESBURY(HIPSBURN)CSO,222/G/0185,6NW800865,,SO on sewer network,NU2365010930,6,Hip Burn  River Aln estury,HIPS BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,2.15,10+ (installed pre-2013),100.00,,,,,,6NW800865,NU2365010930,55.391762,-1.6282012
Northumbrian Water,AVONDALE CSO,AVONDALE CSO,222/B/0049,6NW800866,,SO on sewer network,NU2383911581,GB103022076350,Aln from Edlingham Burn to Tidal Limit,ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,31.19,10+ (installed pre-2013),99.86,,,,,,6NW800866,NU2383911581,55.397603,-1.6251623
Northumbrian Water,WARKWORTH SEWERAGE SYSTEM SSO MH NO,WARKWORTH SEWERAGE SYSTEM SSO MH NO,223/B/0057,6NW800867,,SO on sewer network,NU2460006000,GB510302203000,COQUET,"COQUET, TIDAL WATERS",,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,18.17,4,1.85,10 (installed 2013),94.35,,,,,,6NW800867,NU2460006000,55.347418,-1.613636
Northumbrian Water,A1068 ROAD BRIDGE CSO,A1068 ROAD BRIDGE CSO,223/0871,6NW800868,,SO on sewer network,NU2483206265,GB510302203000,COQUET,COQUET ESTUARY,,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,14.17,9,9.65,10+ (installed pre-2013),99.87,,,,,,6NW800868,NU2483206265,55.349787,-1.6099543
Northumbrian Water,BOULMER SEWAGE TREATMENT WORKS,BOULMER SEWAGE TREATMENT WORKS,221/1035,6NW800869,221/1035-03,Inlet SO at WwTW,NU2680015660,GB650301500001,Northumberland South,NORTH SEA,,,Not Applicable,Commissioned pre-2016 - full year data expected,525.57,61,56.27,10+ (installed pre-2013),97.71,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800869,NU2680015660,55.434102,-1.5780228
Northumbrian Water,BEAL BANK SPS,BEAL BANK SPS,223/B/0222,6NW800870,223/B/0222-01,Storm discharge at pumping station,NU2511405549,GB510302203000,COQUET,RIVER COQUET,,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,6.37,7,15.85,10+ (installed pre-2013),84.80,Comms failure / issue,Resolved - Nov,,,,6NW800870,NU2511405549,55.34334,-1.6055713
Northumbrian Water,TURNER STREET SPS,TURNER STREET SPS,223/0950,6NW800871,,SO on sewer network,NU2649204607,GB510302203000,COQUET,RIVER COQUET (SALINE ESTUARY),,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,74.87,23,17.94,9 (installed 2014),99.85,,,,,,6NW800871,NU2649204607,55.334803,-1.5839334
Northumbrian Water,HALTON LEA GATE CSO,HALTON LEA GATE CSO,232/G/0063,6NW800872,,SO on sewer network,NY6553558679,GB103023075531,South Tyne from Black Burn to Tipalt Burn,"BLACK BURN, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,20.50,18,20.29,10 (installed 2013),99.74,,,,,,6NW800872,NY6553558679,54.921606,-2.5392488
Northumbrian Water,MEADOW VIEW CSO,MEADOW VIEW CSO,NPSWQD003443,6NW800873,,SO on sewer network,NY6861461700,GB103023075500,Park Burn from Source to South Tyne,PARK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,2,1.36,10+ (installed pre-2013),99.99,,,,,,6NW800873,NY6861461700,54.948956,-2.4915438
Northumbrian Water,OLD TYNE BRIDGE CSO,OLD TYNE BRIDGE CSO,232/1166,6NW800874,,SO on sewer network,NY7056663780,GB103023075532,South Tyne from Tipalt Burn to Allen,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,31.75,50,51.80,10+ (installed pre-2013),99.81,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800874,NY7056663780,54.967766,-2.4612835
Northumbrian Water,LANYTYS LONNEN CSO,LANYTYS LONNEN CSO,232/0999,6NW800875,,SO on sewer network,NY7097863640,GB103023075532,South Tyne from Tipalt Burn to Allen,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,4.31,10+ (installed pre-2013),92.75,,,,,,6NW800875,NY7097863640,54.966533,-2.4548342
Northumbrian Water,MAIN STREET CSO,MAIN STREET CSO,232/1012,6NW800876,,SO on sewer network,NY7092064110,GB103022076693,Coquet from Forest Burn to Tidal Limit,HEMMEL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,3,1.91,9 (installed 2014),99.99,,,,,,6NW800876,NY7092064110,54.970753,-2.4557879
Northumbrian Water,ALSTON EJECTOR STATION SPS,ALSTON EJECTOR STATION SPS,232/1135,6NW800877,A1,Storm discharge at pumping station,NY7161946248,GB103023075531,South Tyne from Black Burn to Tipalt Burn,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,186.50,31,23.27,10+ (installed pre-2013),16.62,Comms failure / issue,N/A - Ongoing investigation,,,,6NW800877,NY7161946248,54.810284,-2.443103
Northumbrian Water,THE CARAVAN PARK CSO,THE CARAVAN PARK CSO,232/1153,6NW800878,,SO on sewer network,NY7164846704,GB103023075420,Nent from Source to South Tyne,RIVER NENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,307.50,100,83.41,10+ (installed pre-2013),99.78,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800878,NY7164846704,54.814384,-2.4426967
Northumbrian Water,KINGS ARMS LANE CSO,KINGS ARMS LANE CSO,232/1152,6NW800880,,SO on sewer network,NY7174546573,GB103023075531,South Tyne from Black Burn to Tipalt Burn,TRIB RIVER NENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,7.67,10+ (installed pre-2013),99.99,,,,,,6NW800880,NY7174546573,54.813212,-2.4411745
Northumbrian Water,THE FIRS CSO ED003,THE FIRS CSO ED003,232/1167,6NW800881,,SO on sewer network,NY7165346139,GB103023075531,South Tyne from Black Burn to Tipalt Burn,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.00,1,3.53,10+ (installed pre-2013),27.69,Comms failure / issue,N/A - Ongoing investigation,,,,6NW800881,NY7165346139,54.809307,-2.4425633
Northumbrian Water,MOOR VIEW CSO,MOOR VIEW CSO,232/1016,6NW800882,,SO on sewer network,NY7413063810,GB103023075532,South Tyne from Tipalt Burn to Allen,MELKRIDGE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.28,10+ (installed pre-2013),96.54,,,,,,6NW800882,NY7413063810,54.968234,-2.4056191
Northumbrian Water,HOLMSFOOT CSO,HOLMSFOOT CSO,232/1021,6NW800883,,SO on sewer network,NY7784743968,GB103023075420,Nent from Source to South Tyne,RIVER NENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.00,2,4.91,10+ (installed pre-2013),14.54,Comms failure / issue,N/A - Ongoing investigation,,,,6NW800883,NY7784743968,54.790111,-2.3460289
Northumbrian Water,CATTON LEA CSO,CATTON LEA CSO,232/1001,6NW800884,,SO on sewer network,NY8291057410,GB103023074710,Allen from Source to West Allen,RIVER EAST ALLEN TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.09,10+ (installed pre-2013),99.99,,,,,,6NW800884,NY8291057410,54.911103,-2.268095
Northumbrian Water,THE PETH CSO,THE PETH CSO,232/1013,6NW800885,,SO on sewer network,NY8351955801,GB103023074710,Allen from Source to West Allen,RIVER EAST ALLEN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,5.43,10+ (installed pre-2013),99.99,,,,,,6NW800885,NY8351955801,54.896665,-2.2585033
Northumbrian Water,CHURCH DENE CSO,CHURCH DENE CSO,232/1010,6NW800886,,SO on sewer network,NY8385655983,GB103023074710,Allen from Source to West Allen,UNNAMED TRIB RIVER BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,417.50,91,29.76,10+ (installed pre-2013),99.98,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",6NW800886,NY8385655983,54.898312,-2.253259
Northumbrian Water,MILL COTTAGE CSO,MILL COTTAGE CSO,232/1000,6NW800887,,SO on sewer network,NY8305056660,GB103023074710,Allen from Source to West Allen,RIVER EAST ALLEN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.00,9 (installed 2014),99.99,,,,,,6NW800887,NY8305056660,54.904369,-2.2658668
Northumbrian Water,THE OLD VICARAGE CSO,THE OLD VICARAGE CSO,232/1140,6NW800888,,SO on sewer network,NY8439264454,GB103023075710,South Tyne from Allen to North Tyne,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,228.75,65,54.98,10+ (installed pre-2013),99.50,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800888,NY8439264454,54.974451,-2.2453649
Northumbrian Water,VEDRA CLOSE SSO,VEDRA CLOSE SSO,241/A/0999,6NW800889,,SO on sewer network,NY8621039420,GB103024077440,"Wear from Wearhead to Middlehope Burn, Iresho",WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.00,3,1.47,10+ (installed pre-2013),99.99,,,,,,6NW800889,NY8621039420,54.749542,-2.2157579
Northumbrian Water,HUNTSHIELD FORD CSO,HUNTSHIELD FORD CSO,241/1157,6NW800890,,SO on sewer network,NY8886738132,GB103024077440,"Wear from Wearhead to Middlehope Burn, Iresho",RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,187.75,41,32.41,10+ (installed pre-2013),88.85,Comms failure / issue,Resolved - Jul,,,,6NW800890,NY8886738132,54.738034,-2.1744302
Northumbrian Water,WARDEN VILLAGE STW,WARDEN VILLAGE STW,231/0271,6NW800891,A2,Inlet SO at WwTW,NY9169666201,GB103023075802,N Tyne from Barrasford to S Tyne confluence,RIVER NORTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.03,1,2.76,9 (installed 2014),83.46,Sensor failure / issue,Resolved - Jun,,,,6NW800891,NY9169666201,54.990327,-2.1313113
Northumbrian Water,BEECH HILL CSO,BEECH HILL CSO,233/D/0390,6NW800892,,SO on sewer network,NY9258164111,GB103023075801,Tyne from Watersmeet to Tidal Limit,COCKSHAW BURN CULVERTED,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.73,7,4.05,10+ (installed pre-2013),99.84,,,,,,6NW800892,NY9258164111,54.97156,-2.1174252
Northumbrian Water,ACOMB CSO,ACOMB CSO,233/G/0243,6NW800893,,SO on sewer network,NY9264465247,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,205.77,104,65.14,10+ (installed pre-2013),98.89,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800893,NY9264465247,54.981769,-2.1164707
Northumbrian Water,PRIESTLAND CLOSE CSO,PRIESTLAND CLOSE CSO,233/1256,6NW800894,,SO on sewer network,NY9335063440,GB103023075801,Tyne from Watersmeet to Tidal Limit,HALGUT BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,2,1.03,10+ (installed pre-2013),96.76,,,,,,6NW800894,NY9335063440,54.965541,-2.1053967
Northumbrian Water,EILANS GATE CSO,EILANS GATE CSO,233/1241,6NW800895,,SO on sewer network,NY9310064400,GB103023075801,Tyne from Watersmeet to Tidal Limit,COCKSHAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,0.10,9 (installed 2014),98.10,,,,,,6NW800895,NY9310064400,54.974164,-2.1093249
Northumbrian Water,TANNERS ROAD CSO TD028,TANNERS ROAD CSO TD028,233/1238,6NW800896,,SO on sewer network,NY9331264296,GB103023075801,Tyne from Watersmeet to Tidal Limit,COCKSHAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.07,9,5.47,10+ (installed pre-2013),100.00,,,,,,6NW800896,NY9331264296,54.973233,-2.1060105
Northumbrian Water,TYNE GREEN CSO TD030,TYNE GREEN CSO TD030,233/1239,6NW800897,,SO on sewer network,NY9349264832,GB103023075801,Tyne from Watersmeet to Tidal Limit,COCKSHAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,11.32,11,11.46,10+ (installed pre-2013),83.69,Telemetry or data archiving failure / issue,Resolved - Aug,,,,6NW800897,NY9349264832,54.978052,-2.103211
Northumbrian Water,MARKET PLACE CSO,MARKET PLACE CSO,251/0924,6NW800898,,SO on sewer network,NY9464525535,GB103025072480,Hudeshope Beck Catchment (trib of Tees),Hudeshope Beck,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,3.71,10+ (installed pre-2013),99.99,,,,,,6NW800898,NY9464525535,54.624925,-2.0844551
Northumbrian Water,OUTLET LANE CSO NO.2,OUTLET LANE CSO NO.2,233/1050,6NW800899,,SO on sewer network,NY9412064400,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.00,8 (installed 2015),99.99,,,,,,6NW800899,NY9412064400,54.974178,-2.0933903
Northumbrian Water,OUTLET ROAD NO 2 CSO,OUTLET ROAD NO 2 CSO,233/1240,6NW800900,,SO on sewer network,NY9437064150,GB103023075801,Tyne from Watersmeet to Tidal Limit,TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.40,2,1.01,10 (installed 2013),99.73,,,,,,6NW800900,NY9437064150,54.971934,-2.0894797
Northumbrian Water,MIDDLETON-IN-TEESDALE STW,MIDDLETON-IN-TEESDALE STW,25/01/0919,6NW800901,25/01/0919-03,Inlet SO at WwTW,NY9513524887,GB103025072511,Tees from Maize Beck to Percy Beck,RIVER TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,32.25,20,18.43,10+ (installed pre-2013),90.54,,,,,,6NW800901,NY9513524887,54.619107,-2.0768549
Northumbrian Water,ANICK CSO TD006,ANICK CSO TD006,233/1242,6NW800902,,SO on sewer network,NY9593265116,GB103023075801,Tyne from Watersmeet to Tidal Limit,UNNAMED TRIB RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,31.00,19,31.03,10+ (installed pre-2013),99.94,,,,,,6NW800902,NY9593265116,54.98063,-2.0650933
Northumbrian Water,OLD SCHOOL COMBINED SEWER OVERFLOW,OLD SCHOOL COMBINED SEWER OVERFLOW,25/01/0916,6NW800903,,SO on sewer network,NY9741023950,GB103025072511,Tees from Maize Beck to Percy Beck,HEUGH SIKE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,1.72,10+ (installed pre-2013),99.58,,,,,,6NW800903,NY9741023950,54.610704,-2.0416159
Northumbrian Water,SOUTH VIEW CSO,SOUTH VIEW CSO,25/01/0915,6NW800904,,SO on sewer network,NY9740023950,GB103025072511,Tees from Maize Beck to Percy Beck,HEUGH SIKE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.00,10+ (installed pre-2013),99.71,,,,,,6NW800904,NY9740023950,54.610704,-2.0417707
Northumbrian Water,YARKER LANE CSO,YARKER LANE CSO,25/01/0917,6NW800905,,SO on sewer network,NY9740123950,GB103025072511,Tees from Maize Beck to Percy Beck,HEUGH SIKE,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.75,12,19.82,10+ (installed pre-2013),98.68,,,,,,6NW800905,NY9740123950,54.610704,-2.0417553
